animal,timestep,roi,side,value
4,17,aif,li,1225.797363
4,18,aif,li,1628.297974
4,19,aif,li,1550.542114
4,20,aif,li,1213.219238
4,21,aif,li,1144.611084
4,22,aif,li,1157.189331
4,23,aif,li,1349.29187
4,24,aif,li,1396.174072
4,25,aif,li,1420.186768
4,26,aif,li,1374.44812
4,27,aif,li,1321.848633
4,28,aif,li,1369.874268
4,29,aif,li,1344.718018
4,30,aif,li,1447.630127
4,31,aif,li,1461.351685
4,32,aif,li,1521.955444
4,33,aif,li,1571.124512
4,34,aif,li,1496.799194
4,35,aif,li,1547.111694
4,36,aif,li,1622.580566
4,37,aif,li,1561.976807
4,38,aif,li,1635.158691
4,39,aif,li,1671.749756
5,0,aif,li,1773.663086
5,1,aif,li,1716.327515
5,2,aif,li,1707.602539
5,3,aif,li,1670.209839
5,4,aif,li,1741.255981
5,5,aif,li,1641.541992
5,6,aif,li,1632.817017
5,7,aif,li,1611.627808
5,8,aif,li,1676.441895
5,9,aif,li,1700.124023
5,10,aif,li,1816.041504
5,11,aif,li,1752.473877
5,12,aif,li,1712.588257
5,13,aif,li,1666.470459
5,14,aif,li,1656.499146
5,15,aif,li,1640.295532
5,16,aif,li,1220.250244
5,17,aif,li,641.908997
5,18,aif,li,616.980469
5,19,aif,li,572.109192
5,20,aif,li,688.026733
5,21,aif,li,903.658264
5,22,aif,li,1116.796997
5,23,aif,li,1286.310791
5,24,aif,li,1570.495728
5,25,aif,li,1499.449463
5,26,aif,li,1481.999512
5,27,aif,li,1433.389038
5,28,aif,li,1316.224976
5,29,aif,li,1309.99292
5,30,aif,li,1301.267944
5,31,aif,li,1253.903809
5,32,aif,li,1295.035767
5,33,aif,li,1268.86084
5,34,aif,li,1339.907104
5,35,aif,li,1352.371338
5,36,aif,li,1452.085327
5,37,aif,li,1389.76416
5,38,aif,li,1530.610107
5,39,aif,li,1386.024902
6,0,aif,li,2112.507324
6,1,aif,li,1965.31189
6,2,aif,li,1957.190674
6,3,aif,li,1992.720703
6,4,aif,li,1987.64502
6,5,aif,li,1878.009766
6,6,aif,li,1987.64502
6,7,aif,li,1986.629883
6,8,aif,li,1977.49353
6,9,aif,li,2033.326294
6,10,aif,li,2021.144531
6,11,aif,li,2096.264893
6,12,aif,li,1927.751709
6,13,aif,li,1215.123047
6,14,aif,li,416.207581
6,15,aif,li,456.813202
6,16,aif,li,985.701355
6,17,aif,li,1602.906738
6,18,aif,li,1773.450317
6,19,aif,li,1732.844727
6,20,aif,li,1570.422241
6,21,aif,li,1427.287476
6,22,aif,li,1426.272217
6,23,aif,li,1534.892334
6,24,aif,li,1540.983154
6,25,aif,li,1499.362427
6,26,aif,li,1577.528198
6,27,aif,li,1557.225464
6,28,aif,li,1492.25647
6,29,aif,li,1529.81665
6,30,aif,li,1430.332886
6,31,aif,li,1586.664429
6,32,aif,li,1535.907471
6,33,aif,li,1607.982422
6,34,aif,li,1624.224731
6,35,aif,li,1597.831055
6,36,aif,li,1663.815186
6,37,aif,li,1651.633423
6,38,aif,li,1669.906006
