animal,timestep,roi,side,value
1,7,cs,re,1776.536987
1,8,cs,re,1729.80835
1,9,cs,re,1743.826904
1,10,cs,re,1756.570923
1,11,cs,re,1799.476318
1,12,cs,re,1756.99585
1,13,cs,re,1710.267212
1,14,cs,re,1703.470581
1,15,cs,re,1701.77124
1,16,cs,re,1596.419434
1,17,cs,re,1587.498535
1,18,cs,re,1584.100098
1,19,cs,re,1645.696777
1,20,cs,re,1740.003662
1,21,cs,re,1692.00061
1,22,cs,re,1638.900024
1,23,cs,re,1682.655029
1,24,cs,re,1617.234863
1,25,cs,re,1720.887329
1,26,cs,re,1695.823853
1,27,cs,re,1702.195923
1,28,cs,re,1653.343506
1,29,cs,re,1717.913696
1,30,cs,re,1729.383423
1,31,cs,re,1743.826904
1,32,cs,re,1673.734009
1,33,cs,re,1782.484375
1,34,cs,re,1758.270386
1,35,cs,re,1722.161743
1,36,cs,re,1669.061157
1,37,cs,re,1729.383667
1,38,cs,re,1712.81604
1,39,cs,re,1677.132324
1,0,cs,li,1806.109985
1,1,cs,li,1771.962158
1,2,cs,li,1785.621338
1,3,cs,li,1796.176025
1,4,cs,li,1798.038574
1,5,cs,li,1749.610718
1,6,cs,li,1823.494385
1,7,cs,li,1774.445801
1,8,cs,li,1823.494263
1,9,cs,li,1772.583252
1,10,cs,li,1732.847412
1,11,cs,li,1773.203735
1,12,cs,li,1704.287231
1,13,cs,li,1812.939453
1,14,cs,li,1770.720459
1,15,cs,li,1683.177612
1,16,cs,li,1713.60022
1,17,cs,li,1591.28894
1,18,cs,li,1734.710083
1,19,cs,li,1796.796997
1,20,cs,li,1792.450928
1,21,cs,li,1832.807495
1,22,cs,li,1789.967407
1,23,cs,li,1765.753418
1,24,cs,li,1747.127441
1,25,cs,li,1807.972412
1,26,cs,li,1833.428345
1,27,cs,li,1789.346558
1,28,cs,li,1789.346558
1,29,cs,li,1783.758667
1,30,cs,li,1789.346436
1,31,cs,li,1819.148315
1,32,cs,li,1804.868286
1,33,cs,li,1788.725708
1,34,cs,li,1771.341309
1,35,cs,li,1737.814331
1,36,cs,li,1814.802246
1,37,cs,li,1753.956909
1,38,cs,li,1801.763916
1,39,cs,li,1704.287354
